Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
John Adams,"Military, Politics, and Law",Male,1735,"Braintree, Norfolk County, Massachusetts, United States",5,Q11806,1735-10-19,95296943,68575,1826-07-04,Adams,John,,"https://commons.wikimedia.org/wiki/File:Official_Presidential_portrait_of_John_Adams_(by_John_Trumbull,_circa_1792).jpg","lawyer, politician, diplomat, political philosopher, statesperson, writer",lawyer
Charles Follen Adams,Literature,Male,1842,"Dorchester, Dorset, United Kingdom",10,Q1064386,1842-04-21,73130780,,1918-03-08,Adams,Charles,Follen,https://commons.wikimedia.org/wiki/File:1878_CharlesFAdams_Leedle_Boston_illus_byBoz.png,"poet, writer",poet
Sarah Fuller Flower Adams,Literature,Female,1805,"Old Harlow, Harlow, England",5,Q269879,1805-02-22,62914875,129,1848-08-14,Adams,Sarah,Flower,https://commons.wikimedia.org/wiki/File:SarahFlowerAdams.jpg,"poet, writer, lyricist",poet
"Charles Francis Adams, Sr.","Military, Politics, and Law",Male,1807,"Boston, Massachusetts, United States",10,Q75174,1807-08-18,30335611,,1886-11-21,﻿Adams,Charles,Francis,https://commons.wikimedia.org/wiki/File:C._F._Adams_-_Warren._LCCN2013651550_(cropped_closein_3x4).jpg,"politician, lawyer, diplomat, writer",politician
John Quincy Adams,"Military, Politics, and Law",Male,1767,"Braintree, Norfolk County, Massachusetts, United States",5,Q11816,1767-07-11,36980021,,1848-02-23,Adams,John,Quincy,https://commons.wikimedia.org/wiki/File:John_Q._Adams-edit.jpg,"politician, lawyer, diplomat, statesperson, diarist, writer",politician
Joseph Addison,Literature,Male,1672,"Milston, Wiltshire, England, United Kingdom",1,Q206384,1672-05-01,7413288,156,1719-06-17,Addison,Joseph,,"https://commons.wikimedia.org/wiki/File:Joseph_Addison_by_Sir_Godfrey_Kneller,_Bt.jpg","politician, writer, playwright, poet, journalist, editor, librettist, correspondent, essayist",politician
Thomas Ady,Other Sciences,Male,1606,United Kingdom,9,Q7786958,1606,27407158,,1704,Ady,Thomas,,,physician,physician
Aeschines,"Military, Politics, and Law",Male,-389,"Athens, Greece",7,Q317089,-389,1.61E+08,,-341,Aeschines,,,https://commons.wikimedia.org/wiki/File:Bust_Aiskhines_BM_1839_n2.jpg,"politician, diplomat, orator, writer",politician
Aeschylus,Literature,Male,-525,"Eleusis, Greece",8,Q40939,-525,2.69E+08,,-456,Aeschylus,,,https://commons.wikimedia.org/wiki/File:Aeschylusathens.jpg,"tragedy writer, warrior, playwright",tragedy writer
Charles Hamilton Aidé,Literature,Male,1826,"Paris, France",10,Q4058488,1826-11-04,55083244,30350,1906-12-13,Aide,Charles,H,https://commons.wikimedia.org/wiki/File:Charles_Hamilton_Aide.jpg,"novelist, writer, poet",novelist
Mark Akenside,Literature,Male,1721,"Newcastle upon Tyne, Tyne and Wear, England",1,Q1247855,1721-11-09,22217492,263,1770-06-23,Akenside,Mark,,https://commons.wikimedia.org/wiki/File:Mark_Akenside.jpg,"poet, physician, physician writer, writer",poet
Alain de Lille,Religion,Male,1117,"Lille, Nord, France",8,Q4313,1117,72187470,266,1202-12-29,Alanus de Insulis,,,https://commons.wikimedia.org/wiki/File:Alanus_de_Insulis_(Alain_de_Lille)._Woodcut._Wellcome_V0000079.jpg,"theologian, philosopher, teacher, poet, writer, historian",theologian
Henry Mills Alden,Literature,Male,1836,"Mount Tabor, Vermont, United States",10,Q5725891,1836-11-11,70174323,,1919-10-07,Alden,Henry,M,https://commons.wikimedia.org/wiki/File:Henry_Mills_Alden_portrait_in_In_After_Days_(1910).jpg,"classical scholar, author, editor, writer",classical scholar
